"Gene","Module"
"AMN1","blue"
"AMOT","grey"
"AMOTL1","grey"
"AMOTL2","grey"
"AMPD1","grey"
"AMPD2","grey"
"AMPD3","grey"
"AMPH","grey"
"AMT","grey"
"AMTN","grey"
"AMY2A","yellow"
"AMZ1","turquoise"
"AMZ2","grey"
"AMZ2P1","grey"
"ANAPC1","turquoise"
"ANAPC10","blue"
"ANAPC11","brown"
"ANAPC13","blue"
"ANAPC15","brown"
"ANAPC16","blue"
"ANAPC1P1","grey"
"ANAPC1P2","brown"
"ANAPC2","blue"
"ANAPC4","blue"
"ANAPC5","grey"
"ANAPC7","turquoise"
"ANG","grey"
"ANGEL1","grey"
"ANGEL2","blue"
"ANGPT1","tan"
"ANGPT2","yellow"
"ANGPT4","grey"
"ANGPTL1","tan"
"ANGPTL2","magenta"
"ANGPTL3","grey"
"ANGPTL4","blue"
"ANGPTL5","grey"
"ANGPTL6","turquoise"
"ANGPTL7","grey"
"ANGPTL8","turquoise"
"ANK1","grey"
"ANK2","tan"
"ANK3","grey"
"ANKAR","grey"
"ANKDD1A","grey"
"ANKDD1B","grey"
"ANKEF1","yellow"
"ANKFN1","grey"
"ANKFY1","grey"
"ANKH","green"
"ANKHD1","grey"
"ANKIB1","turquoise"
"ANKK1","turquoise"
"ANKLE1","turquoise"
"ANKLE2","green"
"ANKMY1","blue"
"ANKMY2","turquoise"
"ANKRA2","grey"
"ANKRD1","grey"
"ANKRD10","blue"
"ANKRD11","turquoise"
"ANKRD12","grey"
"ANKRD13A","grey"
"ANKRD13B","blue"
"ANKRD13C","blue"
"ANKRD13C-DT","grey"
"ANKRD13D","blue"
"ANKRD16","grey"
"ANKRD17","turquoise"
"ANKRD18A","yellow"
"ANKRD18B","grey"
"ANKRD18DP","grey"
"ANKRD19P","grey"
"ANKRD2","turquoise"
"ANKRD20A11P","grey"
"ANKRD20A12P","grey"
"ANKRD20A19P","grey"
"ANKRD20A2P","grey"
"ANKRD20A5P","grey"
"ANKRD20A8P","grey"
"ANKRD20A9P","grey"
"ANKRD22","grey"
"ANKRD23","grey"
"ANKRD24","turquoise"
"ANKRD26","blue"
"ANKRD26P1","grey"
"ANKRD27","grey"
"ANKRD28","grey"
"ANKRD29","grey"
