"Gene","MM","GS"
"IRF6",0.718301021413328,0.377888906690216
"B3GALT5",0.718295431778077,0.43123316493715
"LRRC8A",0.71613863295927,0.487341315200115
"EPS8L1",0.715167819124472,0.46941925853209
"RAB27B",0.714877944481847,0.333452243158358
"TJP3",0.714522625399139,0.383461025367493
"IL1RN",0.709847426599046,0.460613154071841
"VSIG2",0.709506415596613,0.446881130797645
"AOC1",0.705737653532093,0.431035087048062
"SEMA7A",0.705455467046321,0.52979739230991
"RCOR1",0.70427121135481,0.406514699480157
"TMPRSS3",0.702130177291441,0.427153654737328
"ELF3",0.70201162918119,0.341573636671085
"EXPH5",0.700319916922223,0.39254554600117
"EHF",0.69984492087945,0.339706770356941
"TACSTD2",0.698544049385388,0.387867608084857
"DSG2",0.696860998765287,0.36529979509371
"PLPP2",0.696319512187146,0.346957920915304
"PPME1",0.694297760375537,0.463219668189183
"MXD1",0.69363252789182,0.477197343667503
"ABHD2",0.693493999344671,0.36744125542055
"GOLM1",0.690267729329705,0.449613904046702
"POF1B",0.690252135027031,0.374400061273761
"TENT5C",-0.689914913232675,-0.514756381706121
"TINAGL1",0.686474825906856,0.494748789168102
"PLAT",0.685678560968049,0.548027478420533
"MMP28",0.684608616749519,0.488107324508143
"LOXL2",0.681487448301205,0.53086978486851
"USH1C",0.680483056207448,0.384793872841849
"ARHGAP32",0.678833349759459,0.322390469579745
"SDC4",0.677887982634167,0.393249581655778
"SLC7A2",-0.677620257839867,-0.540051511480282
"GALNT12",0.677565315251246,0.300625911248511
"FGD6",0.677064094680594,0.497206008514333
"RHBDL2",0.676622406468472,0.452754308551404
"TEAD3",0.676580599989309,0.54561743393856
"GPR39",0.675656511073945,0.322737552512926
"GFUS",0.671970317576291,0.321143761170811
"KLK10",0.670513831706776,0.439447101051407
"TUBA1C",0.670282478219401,0.45353722160143
"UGT1A1",0.670238253227994,0.476696697958461
"CTNND1",0.669181307159919,0.354049204709486
"SPINT1",0.667938000646554,0.293777806520676
"TUBA4A",0.666995871780324,0.420586682215613
"PLS1",0.664530432187516,0.346418057168512
"TTC22",0.662643860439162,0.286026111597521
"SAMD12",0.662544912014946,0.354972188193957
"CYP2S1",0.660943276099645,0.408020598176067
"CLDN7",0.659333173088988,0.266640614432026
"SFXN3",0.659209806245254,0.532038686791638
"MUC13",0.658744003267402,0.4200743630247
"GNA15",0.65369575810233,0.496973470926233
"ADAM8",0.65329187413502,0.463663141119846
"CDHR2",0.645564607550712,0.397257177147393
"MYRF",0.644296620279015,0.285720964148413
"SH3RF2",0.642691732035142,0.280746729424369
"IRAK2",0.641144020458126,0.462131550786847
"LONRF2",-0.637245609579602,-0.467854114233308
"SPINT2",0.634907912794261,0.311896480211079
"SH3RF1",0.632973278478812,0.304010929640354
"CYP3A5",0.632738875237254,0.339721132142953
"MUC1",0.631293842767417,0.314108247664226
"RNF128",0.628778880699967,0.295045629431605
"FLT3",-0.626836687045543,-0.494957331965152
"ABCC3",0.626262743422617,0.328073266255505
"TPI1",0.623482948385635,0.425406143837946
"PLAUR",0.620602433343508,0.480360711843402
"SPRY4",0.61744956029505,0.483044116871401
"POC1B-GALNT4",0.61564526411666,0.404294678081185
"CACNB2",-0.612945575232603,-0.43415317816552
"KRT8",0.61268943794945,0.279943438914779
"NIBAN2",0.607699392353325,0.321595793614416
"TRIM15",0.604563494989126,0.392520444343074
"TSPAN8",0.604145228957178,0.377658239673953
"SH2D4A",0.603145774910834,0.295846974794805
"PRSS8",0.597482114338197,0.220791707826401
"LGALS4",0.59526448050874,0.336918455157747
"NPAS2",0.591066424103103,0.256235149459368
"HILPDA",0.573633019114055,0.442024274734158
"SERPINB8",0.568430294161448,0.428078077550616
"NIP7",0.566492791193258,0.390699976224189
"CHMP4C",0.549726981331756,0.186699322428615
"PDZK1IP1",0.541249970133488,0.2307855661258
"CDH1",0.541094943819151,0.190243333948205
"NDRG1",0.527418098827422,0.400787122914149
"BMPER",-0.524730049905827,-0.280179125825482
"CLDN1",0.514769506632823,0.275070982646775
