"Gene","Module"
"AGTPBP1","turquoise"
"AGTR1","tan"
"AGTRAP","brown"
"AGXT","blue"
"AHCTF1","turquoise"
"AHCY","green"
"AHCYL1","grey"
"AHCYL2","grey"
"AHDC1","turquoise"
"AHI1","grey"
"AHNAK","grey"
"AHNAK2","pink"
"AHR","pink"
"AHSA1","turquoise"
"AHSA2P","turquoise"
"AICDA","grey"
"AIF1","grey"
"AIF1L","grey"
"AIFM1","turquoise"
"AIFM2","grey"
"AIFM3","blue"
"AIG1","grey"
"AIM2","red"
"AIMP1","turquoise"
"AIMP2","grey"
"AIRE","blue"
"AJAP1","grey"
"AJM1","blue"
"AJUBA","grey"
"AK1","grey"
"AK2","blue"
"AK4","grey"
"AK5","grey"
"AK6","turquoise"
"AK7","turquoise"
"AK8","turquoise"
"AKAP1","grey"
"AKAP10","turquoise"
"AKAP11","turquoise"
"AKAP12","turquoise"
"AKAP13","grey"
"AKAP5","grey"
"AKAP6","grey"
"AKAP7","yellow"
"AKAP8L","brown"
"AKAP9","turquoise"
"AKIP1","blue"
"AKIRIN1","brown"
"AKIRIN2","green"
"AKNA","red"
"AKR1A1","grey"
"AKR1B1","brown"
"AKR1B10","grey"
"AKR1C1","grey"
"AKR1C2","grey"
"AKR1C3","grey"
"AKR1E2","grey"
"AKR7A2","grey"
"AKR7A2P1","grey"
"AKR7A3","grey"
"AKR7L","grey"
"AKT1","brown"
"AKT2","brown"
"AKT3","black"
"AKTIP","turquoise"
"ALAD","green"
"ALAS1","grey"
"ALAS2","grey"
"ALB","yellow"
"ALCAM","grey"
"ALDH16A1","turquoise"
"ALDH18A1","turquoise"
"ALDH1A1","grey"
"ALDH1A2","grey"
"ALDH1A3","grey"
"ALDH1B1","grey"
"ALDH1L1","grey"
"ALDH1L2","yellow"
"ALDH2","grey"
"ALDH3A1","grey"
"ALDH3A2","yellow"
"ALDH3B1","pink"
"ALDH3B2","grey"
"ALDH4A1","grey"
"ALDH5A1","grey"
"ALDH6A1","green"
"ALDH7A1","turquoise"
"ALDH9A1","turquoise"
"ALDOA","pink"
"ALDOB","grey"
"ALDOC","yellow"
"ALG1","grey"
"ALG10","grey"
"ALG10B","grey"
"ALG11","turquoise"
"ALG12","brown"
"ALG14","yellow"
"ALG1L1P","grey"
"ALG2","yellow"
"ALG3","brown"
"ALG5","yellow"
"ALG6","turquoise"
