"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"MLPH","pink",0.856428047449935,1.4315187183587e-70,0.595605807531195,1.5736428679263e-24,TRUE
"APBB2","black",0.856301959146749,1.57722424087665e-70,0.37838978082034,1.27214220556702e-09,TRUE
"LPCAT4","pink",0.853857791090823,1.01404723547926e-69,0.553220818068366,1.00894181055315e-20,TRUE
"GALE","pink",0.853725083158875,1.12076790331441e-69,0.534942661843748,3.05234650845966e-19,TRUE
"MYH9","black",0.853429908634386,1.39965723123233e-69,0.445157943749043,3.93443242717716e-13,TRUE
"SLC2A1","pink",0.85235971099558,3.11995723559112e-69,0.629365391593289,5.44416055325845e-28,TRUE
"TLN1","black",0.852004477955316,4.06532004345268e-69,0.314217460337984,6.38167215101232e-07,TRUE
"DSE","black",0.850718904869534,1.0533572801271e-68,0.378085852109161,1.31459119640036e-09,TRUE
"FAM83B","pink",0.850692697382214,1.07390125436468e-68,0.49597106808028,2.28150138148026e-16,TRUE
"GREM1","black",0.850652584512437,1.10611631942651e-68,0.477777793332691,3.79464694302445e-15,TRUE
"SMAGP","pink",0.850058923589041,1.71134598523717e-68,0.503429803550347,6.85987518840313e-17,TRUE
"OCIAD2","pink",0.849986442324807,1.80477293468668e-68,0.520265591767918,4.07674758647696e-18,TRUE
"ITGB6","pink",0.848554530852795,5.12850864245562e-68,0.552475464132579,1.16421838169537e-20,TRUE
"EFEMP2","black",0.848514982082398,5.27778610133782e-68,0.322404409253514,3.11565727127426e-07,TRUE
"MBOAT2","pink",0.848313902495276,6.10592153432166e-68,0.603084057191616,2.92122055300123e-25,TRUE
"MARVELD1","black",0.847834550640403,8.63535902011485e-68,0.484306144971701,1.41047873615335e-15,TRUE
"JPT1","pink",0.847399182456919,1.1818115586086e-67,0.540866861918068,1.03404732318916e-19,TRUE
"WDR1","black",0.845770763353401,3.78864824055678e-67,0.445907380281972,3.55581470464255e-13,TRUE
