"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"RARS1",0.0734744643309382,8.0336201185108,1.08482910264925,0.279076884376819,0.350204921491502,-6.33420093662531,"Not Significant"
"GIPR",0.0544858134199044,6.84429687284418,1.08479736541137,0.279090915204853,0.350204921491502,-6.33423500859052,"Not Significant"
"OR51E2",-0.0270035880039727,3.68097986063084,-1.08474155826084,0.279115588356618,0.350213880384137,-6.33429491876054,"Not Significant"
"WASIR2",-0.0348733806329786,5.5467386587219,-1.08450164811941,0.279221673114846,0.350324981080147,-6.33455243266788,"Not Significant"
"DEGS2",-0.0540943965575433,7.35075900195209,-1.084284931083,0.279317525934772,0.350423231142588,-6.3347850031531,"Not Significant"
"TYRP1",0.0369348175511766,3.84916569182386,1.08409763523895,0.279400384047728,0.350505167125319,-6.33498596312736,"Not Significant"
"ANKRD13B",0.0439407426870932,5.62799709463015,1.08379440609457,0.279534565727927,0.35065147370782,-6.33531124141048,"Not Significant"
"TMEM131",0.0454046815880229,7.98619003067107,1.083382234787,0.279717025984366,0.35085831933005,-6.33575323904239,"Not Significant"
"MSH4",-0.023755540196738,3.09651713717017,-1.08281373924648,0.279968821574589,0.351152103116536,-6.33636259996172,"Not Significant"
"LTF",-0.0942508904227601,5.98678465487294,-1.08241832598957,0.280144047666463,0.351349818415793,-6.33678625009665,"Not Significant"
"DDTL",-0.0937974577079652,7.49475816586428,-1.08229611250451,0.280198221337256,0.351395697431428,-6.33691715997712,"Not Significant"
"RGS14",-0.0444674550277808,6.32595890480656,-1.08220778018814,0.280237380933222,0.351422742764953,-6.33701176867935,"Not Significant"
"PAX8",0.0419033696479074,6.13280555901406,1.08201274895948,0.280323855676498,0.351491630165079,-6.33722063062374,"Not Significant"
"CPSF1",0.0531326357957713,6.91636320834154,1.08200450989925,0.280327509188431,0.351491630165079,-6.33722945313946,"Not Significant"
"PHEX",-0.0486287333594353,3.6552477091411,-1.08165992474247,0.280480340468963,0.35166118388846,-6.33759838078903,"Not Significant"
"PDE7A",-0.0849393117464672,6.34582046191031,-1.08142922642482,0.280582692188792,0.351767429938421,-6.33784531126944,"Not Significant"
"MBTPS2",0.0466756827269901,6.68036509847007,1.08129815927943,0.280640852865846,0.351818263675542,-6.33798557719456,"Not Significant"
"DMAC1",0.0871451711055622,7.3058693382105,1.08124714250777,0.28066349364197,0.351824565206772,-6.33804016996098,"Not Significant"
"CCDC61",-0.0415204201656376,6.57920609625039,-1.08120742064554,0.280681122704889,0.351824583928927,-6.33808267434081,"Not Significant"
"KLHDC7B",-0.0520433533699931,5.81929174754781,-1.08070658249609,0.280903465899756,0.352081188998603,-6.3386184635499,"Not Significant"
"SLC6A12",-0.0372271339758585,5.02709015402924,-1.08060797673588,0.280947255331891,0.352087452718091,-6.33872392156158,"Not Significant"
"OR5T3",-0.0156142469077856,2.85337225855778,-1.08059620684993,0.280952482484319,0.352087452718091,-6.33873650871668,"Not Significant"
"POLR3H",-0.034431009186612,6.23995770249239,-1.08057625118987,0.280961345192433,0.352087452718091,-6.33875784973372,"Not Significant"
"USP42",0.0365154325954009,6.83616682507413,1.08050613606507,0.280992486237305,0.352104386455704,-6.33883282927893,"Not Significant"
"KAT2A",0.0625295571577071,7.40337643496434,1.08031754370948,0.28107625965061,0.352187266185388,-6.33903448181405,"Not Significant"
"MCM3AP",-0.0474007268008316,6.89590226088819,-1.07998004648776,0.28122621972716,0.352353061901286,-6.33939526399426,"Not Significant"
"RANBP10",-0.0474922294202029,6.74369103237892,-1.07986596111208,0.281276923615292,0.352394484870592,-6.33951719522004,"Not Significant"
"ZNF629",-0.0393107229048111,5.41660802157777,-1.07979774190089,0.281307245814736,0.352409872165649,-6.33959009989074,"Not Significant"
"PDE11A",-0.0737078742313022,5.24376429623985,-1.07975894253331,0.281324492424215,0.352409872165649,-6.3396315620574,"Not Significant"
