"Gene","logFC","AveExpr","t","P.Value","adj.P.Val","B","status"
"PARD3",-0.19404951817207,7.42605383938012,-2.94406569160536,0.00355461291615433,0.00820427991533008,-2.68418458294034,"Not Significant"
"TIPIN",-0.163941377492372,5.75289029654538,-2.94402563777495,0.0035550568435179,0.0082043564867044,-2.68429775960419,"Not Significant"
"RRP12",-0.155614207716928,6.52094444877329,-2.94264184264704,0.00357042501581869,0.00823887121834132,-2.68820695096844,"Not Significant"
"ANKRD26",-0.16291691071604,5.63167041875559,-2.94172522023998,0.00358063830962473,0.00826148430131043,-2.69079544817374,"Not Significant"
"USP11",0.171775204524732,7.59745444193239,2.94168751379688,0.00358105901867322,0.00826150067440274,-2.69090191327494,"Not Significant"
"TMEM200B",-0.151849500924008,6.76390262981606,-2.94096661337949,0.00358911116004667,0.0082791207195718,-2.69293714978339,"Not Significant"
"FZD10",-0.102153474626265,5.70417113255055,-2.94081238945852,0.0035908359238638,0.00828214281099949,-2.69337249245697,"Not Significant"
"DPPA5",-0.138138000278581,4.21804121822472,-2.94056279564314,0.00359362886459863,0.00828762763439476,-2.69407699989047,"Not Significant"
"PROSER3",0.0826385018596039,6.12795432130607,2.94005409777829,0.00359932732132761,0.00829981111939479,-2.6955126862658,"Not Significant"
"SPATA42",-0.0599837179713458,3.2563261435162,-2.93990788182552,0.0036009667685527,0.00830263306418927,-2.69592530545666,"Not Significant"
"DCX",-0.0732884808864647,4.07225385780852,-2.93972132142852,0.00360305957037461,0.0083064995220063,-2.69645174833416,"Not Significant"
"NDRG4",-0.138173798092347,5.8589175735915,-2.93962274554114,0.00360416582680569,0.00830809096648781,-2.69672990078902,"Not Significant"
"ADAD2",-0.152477227438739,6.66801168185471,-2.93941026155664,0.00360655146084758,0.00831263084225359,-2.6973294392184,"Not Significant"
"NDRG2",-0.221605012428174,8.30887683281298,-2.93926600153089,0.00360817194350798,0.00831540629971483,-2.69773645599497,"Not Significant"
"STK11IP",0.0890323348556112,5.6632782903601,2.93910648281696,0.00360996460381004,0.00831857787223139,-2.6981865021594,"Not Significant"
"FGF4",-0.135831294091635,6.4335522360001,-2.93878288187343,0.00361360371300036,0.00832600306419071,-2.69909939961102,"Not Significant"
"LARS1",-0.213524839278289,8.49736952743506,-2.93819339844422,0.00362024147778378,0.00834033486473508,-2.7007621269704,"Not Significant"
"PTGES3L-AARSD1",-0.135120607378703,6.35000684223659,-2.93815165823255,0.00362071190814686,0.00834045665474864,-2.70087984979839,"Not Significant"
"RPTOR",0.138299577586514,6.35957695003529,2.93793483333403,0.00362315651934461,0.00834512549785393,-2.70149135113504,"Not Significant"
"FBXW7",-0.17846802680063,6.39097226966928,-2.93787865769571,0.00362379012277344,0.00834562249651525,-2.70164977386797,"Not Significant"
"IFITM5",-0.143751645589137,4.45754772709106,-2.93743400743703,0.00362880889912426,0.00835621731048052,-2.70290364698222,"Not Significant"
"SNAPC2",0.072224518118869,6.57720145360615,2.93732029019416,0.00363009344883971,0.00835821170572038,-2.70322429086385,"Not Significant"
"SF1",-0.111525798697818,8.81329563431918,-2.93720426411292,0.00363140450802544,0.00836026667165746,-2.70355143297866,"Not Significant"
"COG6",-0.214907192226647,8.31976578145034,-2.93714939342859,0.00363202468084865,0.00836073077967857,-2.70370613979656,"Not Significant"
"MYO1C",0.179884852395837,8.28264043832266,2.93676626472002,0.00363635767311699,0.00836974051196575,-2.70478628872961,"Not Significant"
