"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"FKBP14","green",0.697782596156082,1.72096794587297e-36,-0.333636554811539,1.12490309460658e-07,0.333636554811539,1.12490309460658e-07,TRUE,FALSE
"FKBP7","green",0.756410599210427,5.8976912940924e-46,-0.319251221128827,4.11694848182292e-07,0.319251221128827,4.11694848182292e-07,TRUE,FALSE
"FLNA","green",0.83506137677621,5.83523557394539e-64,-0.492651117557176,3.85890489090081e-16,0.492651117557176,3.85890489090081e-16,TRUE,TRUE
"FN1","green",0.936046099930437,2.1294690254989e-110,-0.587594719980105,9.10935144501649e-24,0.587594719980105,9.10935144501649e-24,TRUE,TRUE
"FNDC1","green",0.776270697003863,8.49805741583064e-50,-0.449497633569852,2.18235983207875e-13,0.449497633569852,2.18235983207875e-13,TRUE,FALSE
"FRMD6","green",0.870807581095776,1.18058471931776e-75,-0.450852328631297,1.81250850296299e-13,0.450852328631297,1.81250850296299e-13,TRUE,TRUE
"FRRS1","green",0.777067579829123,5.84757731667119e-50,-0.492694461101631,3.83265886980715e-16,0.492694461101631,3.83265886980715e-16,TRUE,FALSE
"FSTL1","green",0.866881307953026,3.30175838353196e-74,-0.347244738367433,3.09670210586938e-08,0.347244738367433,3.09670210586938e-08,TRUE,TRUE
"GALNT10","green",0.727919075202943,4.77625699573895e-41,-0.510547230162405,2.11967818204544e-17,0.510547230162405,2.11967818204544e-17,TRUE,FALSE
"GASK1B","green",0.767005587145298,5.8742978980666e-48,-0.312255300118754,7.55431542385783e-07,0.312255300118754,7.55431542385783e-07,TRUE,FALSE
"GEM","green",0.705685610577054,1.24962575710586e-37,-0.274346520191768,1.5600286277176e-05,0.274346520191768,1.5600286277176e-05,TRUE,FALSE
"GFPT2","green",0.716152433265372,3.37823588423606e-39,-0.223387848218014,0.000475590703389737,0.223387848218014,0.000475590703389737,TRUE,FALSE
"GGT5","green",0.668778176938164,1.30512809961643e-32,-0.465176812294201,2.41741593924565e-14,0.465176812294201,2.41741593924565e-14,TRUE,FALSE
"GJA1","green",0.733525300545537,5.79942333059569e-42,-0.20940103461974,0.00107468484578481,0.20940103461974,0.00107468484578481,TRUE,FALSE
