"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"MST1R","black",0.923129679921093,3.4190040083667e-101,-0.610548033527184,5.20213583641143e-26,0.610548033527184,5.20213583641143e-26,TRUE,TRUE
"MTMR11","black",0.829973489148195,1.58966119743764e-62,-0.592126562721373,3.39395193617632e-24,0.592126562721373,3.39395193617632e-24,TRUE,TRUE
"OCIAD2","black",0.833895741617824,1.25649427877552e-63,-0.520265591767917,4.07674758647705e-18,0.520265591767917,4.07674758647705e-18,TRUE,TRUE
"PLEK2","black",0.923699070580171,1.45595841973746e-101,-0.589123623759733,6.54005822183884e-24,0.589123623759733,6.54005822183884e-24,TRUE,TRUE
"S100A11","black",0.806187442501306,2.13885262742844e-56,-0.622318214135856,3.11377596250734e-27,0.622318214135856,3.11377596250734e-27,TRUE,TRUE
"S100A16","black",0.83905994208007,4.01156686555104e-65,-0.600349747574425,5.4349200834548e-25,0.600349747574425,5.4349200834548e-25,TRUE,TRUE
"S100P","black",0.85179399841586,4.7540041927969e-69,-0.574152024817465,1.55836595874721e-22,0.574152024817465,1.55836595874721e-22,TRUE,TRUE
"SERPINB5","black",0.828771257009286,3.4158050143359e-62,-0.571382181087162,2.75288267888877e-22,0.571382181087162,2.75288267888877e-22,TRUE,TRUE
"SFN","black",0.877090976221502,4.52334584929203e-78,-0.595293281364987,1.68676897836437e-24,0.595293281364987,1.68676897836437e-24,TRUE,TRUE
"SLC2A1","black",0.84826605248914,6.32121804766103e-68,-0.629365391593289,5.44416055325845e-28,0.629365391593289,5.44416055325845e-28,TRUE,TRUE
"SLC6A14","black",0.811798118877278,9.19594008865987e-58,-0.623727055223658,2.20506191222484e-27,0.623727055223658,2.20506191222484e-27,TRUE,TRUE
"TMC7","black",0.883515549413203,1.10511854707144e-80,-0.602902160848886,3.04495992598962e-25,0.602902160848886,3.04495992598962e-25,TRUE,TRUE
"TMEM45B","black",0.866473186292188,4.6394801919895e-74,-0.531271948751994,5.90618904016132e-19,0.531271948751994,5.90618904016132e-19,TRUE,TRUE
"TMPRSS4","black",0.918867502327353,1.66480135178911e-98,-0.659145934933019,2.03765889742762e-31,0.659145934933019,2.03765889742762e-31,TRUE,TRUE
"TRIM29","black",0.83201580837777,4.27537891173731e-63,-0.595660985994924,1.55446050838488e-24,0.595660985994924,1.55446050838488e-24,TRUE,TRUE
"TSPAN1","black",0.895834715784168,3.755535360398e-86,-0.627963865122025,7.72854982318445e-28,0.627963865122025,7.72854982318445e-28,TRUE,TRUE
