"Gene","Module","MM","MM_pval","GS_adjacent_non_tumor","pval_GS_adjacent_non_tumor","GS_Tumor","pval_GS_Tumor","SignificantModule","HubGene"
"BUB3","blue",0.802088828454815,1.9976905306566e-55,-0.275449037023821,1.43719628178965e-05,0.275449037023821,1.43719628178965e-05,FALSE,TRUE
"C2orf69","blue",0.842845517586642,2.97018688557648e-66,0.21299712736107,0.000875721691466402,-0.21299712736107,0.000875721691466402,FALSE,TRUE
"CCDC28A","blue",0.82349500053044,9.14817574986101e-61,0.23155623370794,0.000288484296429973,-0.23155623370794,0.000288484296429973,FALSE,TRUE
"CDK7","blue",0.810785118579402,1.63568806756784e-57,-0.220686124821169,0.00055892522838434,0.220686124821169,0.00055892522838434,FALSE,TRUE
"DPM3","blue",-0.821261223964633,3.56095942429259e-60,0.209271480233399,0.00108257339161211,-0.209271480233399,0.00108257339161211,FALSE,TRUE
"EFR3A","blue",0.838410001464883,6.22968065503938e-65,-0.204028407633249,0.0014501997492534,0.204028407633249,0.0014501997492534,FALSE,TRUE
"FCF1","blue",0.864993276737907,1.57787824123772e-73,-0.203323176710662,0.00150755466662658,0.203323176710662,0.00150755466662658,FALSE,TRUE
"GCC2","blue",0.821515839541734,3.05285852471868e-60,-0.200107119968999,0.00179636629312738,0.200107119968999,0.00179636629312738,FALSE,TRUE
"GTF2H3","blue",0.842233599665158,4.545118984433e-66,-0.227896210293752,0.000361707212894082,0.227896210293752,0.000361707212894082,FALSE,TRUE
"GYG1","blue",0.801095738568227,3.40579173238069e-55,0.202943324104195,0.00153930064893018,-0.202943324104195,0.00153930064893018,FALSE,TRUE
"HSD17B4","blue",0.81181344530509,9.11591978139062e-58,0.236474288144876,0.000211672515667116,-0.236474288144876,0.000211672515667116,FALSE,TRUE
"IMMP2L","blue",0.817086364450104,4.29450981524149e-59,0.242049799263583,0.0001478411407465,-0.242049799263583,0.0001478411407465,FALSE,TRUE
"JRKL","blue",0.854169323235335,8.01442418113129e-70,-0.273125898274676,1.70759794798095e-05,0.273125898274676,1.70759794798095e-05,FALSE,TRUE
"KDM4C","blue",0.823402268621547,9.68283533512372e-61,0.208101400867283,0.00115626824006108,-0.208101400867283,0.00115626824006108,FALSE,TRUE
"MAT2B","blue",0.892180255440123,1.84433476466217e-84,-0.201612042993312,0.00165545207440221,0.201612042993312,0.00165545207440221,FALSE,TRUE
"NCK1","blue",0.831852312347939,4.75241294966267e-63,-0.290740228032616,4.44170467658227e-06,0.290740228032616,4.44170467658227e-06,FALSE,TRUE
"NUFIP2","blue",0.803996950615361,7.10621147125239e-56,-0.252386322607094,7.43091235598675e-05,0.252386322607094,7.43091235598675e-05,FALSE,TRUE
"OAF","blue",-0.812076278817943,7.84611684647648e-58,0.202999038753027,0.00153460635632753,-0.202999038753027,0.00153460635632753,FALSE,TRUE
"ORMDL1","blue",0.821144253566414,3.82161577003968e-60,0.247255038903366,0.00010494203560765,-0.247255038903366,0.00010494203560765,FALSE,TRUE
"PGBD2","blue",0.805243074949244,3.59588183350816e-56,0.21328298039888,0.000861461531524708,-0.21328298039888,0.000861461531524708,FALSE,TRUE
"PSMA3","blue",0.814935283344521,1.51125256047228e-58,-0.223673620715954,0.000467484845398997,0.223673620715954,0.000467484845398997,FALSE,TRUE
"PSMA5","blue",0.868635857387381,7.55171638789715e-75,-0.202148575643174,0.0016077092553658,0.202148575643174,0.0016077092553658,FALSE,TRUE
"PSMC2","blue",0.823935705723496,6.98075871146369e-61,-0.213739196890317,0.000839145184402307,0.213739196890317,0.000839145184402307,FALSE,TRUE
"PSMD7","blue",0.807888061166118,8.33155294834351e-57,-0.24794785663144,0.000100206075814831,0.24794785663144,0.000100206075814831,FALSE,TRUE
"PTGER4P2-CDK2AP2P2","blue",-0.809218750094553,3.95799368048137e-57,0.21342479645389,0.00085446654139955,-0.21342479645389,0.00085446654139955,FALSE,TRUE
"PTGES3","blue",0.852357644108905,3.12477186887411e-69,-0.209241777449381,0.00108438947284045,0.209241777449381,0.00108438947284045,FALSE,TRUE
"RNF168","blue",0.850653077331769,1.10571478422086e-68,-0.20344877413105,0.00149719050897844,0.20344877413105,0.00149719050897844,FALSE,TRUE
"RPL6","blue",0.83018676740569,1.38708001580265e-62,0.261726204161358,3.89035830634063e-05,-0.261726204161358,3.89035830634063e-05,FALSE,TRUE
"SANBR","blue",0.822502125153566,1.67766724791499e-60,-0.209751033670418,0.0010536368940643,0.209751033670418,0.0010536368940643,FALSE,TRUE
"SHPRH","blue",0.830397829435465,1.21180402201371e-62,0.252902604246384,7.17436551851669e-05,-0.252902604246384,7.17436551851669e-05,FALSE,TRUE
"SLC49A3","blue",-0.838719730025988,5.05217654823894e-65,-0.209450037819315,0.00107171484638029,0.209450037819315,0.00107171484638029,FALSE,TRUE
"SMIM8","blue",0.840126814106303,1.93949372624545e-65,0.227720663758205,0.000365619899044957,-0.227720663758205,0.000365619899044957,FALSE,TRUE
"SUMO1","blue",0.807967313529652,7.97158737443717e-57,-0.20205323671545,0.00161609978895712,0.20205323671545,0.00161609978895712,FALSE,TRUE
"TOPORS","blue",0.803990218852481,7.13231437598273e-56,0.200416193099105,0.00176656218665889,-0.200416193099105,0.00176656218665889,FALSE,TRUE
"TRIP12","blue",0.832966154190407,2.30653231003967e-63,-0.224505103449501,0.000444622753037053,0.224505103449501,0.000444622753037053,FALSE,TRUE
"TXNDC15","blue",0.812928568181035,4.81614920650278e-58,0.202809994240466,0.00155058789043304,-0.202809994240466,0.00155058789043304,FALSE,TRUE
"UBA3","blue",0.807818301986002,8.66167969324482e-57,-0.249801821082709,8.84999142756956e-05,0.249801821082709,8.84999142756956e-05,FALSE,TRUE
"XPO1","blue",0.84709474908342,1.47089421144692e-67,-0.269403927321884,2.24348110960519e-05,0.269403927321884,2.24348110960519e-05,FALSE,TRUE
"XRCC5","blue",0.857653786676017,5.55210306828602e-71,-0.200116000444292,0.00179550357461305,0.200116000444292,0.00179550357461305,FALSE,TRUE
"ZMYND11","blue",0.827420986397605,8.00777081137375e-62,0.252830308066922,7.20978220685566e-05,-0.252830308066922,7.20978220685566e-05,FALSE,TRUE
"DDX60","lightgreen",0.945261431621537,3.12934908842902e-118,-0.475455686679673,5.36857229210978e-15,0.475455686679673,5.36857229210978e-15,FALSE,TRUE
"DTX3L","lightgreen",0.872715831665986,2.24792181662011e-76,-0.457463256922709,7.23713803616202e-14,0.457463256922709,7.23713803616202e-14,FALSE,TRUE
"EPSTI1","lightgreen",0.925371837917162,1.14036364319071e-102,-0.444999007150815,4.01964274897402e-13,0.444999007150815,4.01964274897402e-13,FALSE,TRUE
"HERC6","lightgreen",0.863382687473765,5.88168290754833e-73,-0.26307686489308,3.53559024314437e-05,0.26307686489308,3.53559024314437e-05,FALSE,TRUE
"IFI44","lightgreen",0.947573278685204,2.07265383888302e-120,-0.437263522826644,1.12533662770251e-12,0.437263522826644,1.12533662770251e-12,FALSE,TRUE
"IFI44L","lightgreen",0.886690417199017,4.95583265031925e-82,-0.445808865739717,3.60347603445039e-13,0.445808865739717,3.60347603445039e-13,FALSE,TRUE
"IFIH1","lightgreen",0.894465584279159,1.64260533195498e-85,-0.247833913343449,0.000100970939213164,0.247833913343449,0.000100970939213164,FALSE,TRUE
"IFIT1","lightgreen",0.869672351093115,3.12751525166824e-75,-0.280913603870884,9.5216192748833e-06,0.280913603870884,9.5216192748833e-06,FALSE,TRUE
"IFIT2","lightgreen",0.91338978002803,2.92616051596064e-95,-0.301223494164262,1.90713710352763e-06,0.301223494164262,1.90713710352763e-06,FALSE,TRUE
"IFIT3","lightgreen",0.869564256004523,3.42988296819436e-75,-0.364757675756604,5.36584197020844e-09,0.364757675756604,5.36584197020844e-09,FALSE,TRUE
"MX1","lightgreen",0.927194436233736,6.63880054301932e-104,-0.425067333310185,5.41459016298574e-12,0.425067333310185,5.41459016298574e-12,FALSE,TRUE
"NMI","lightgreen",0.869612468824288,3.29160122714133e-75,-0.333792293443284,1.10880439934906e-07,0.333792293443284,1.10880439934906e-07,FALSE,TRUE
"PARP14","lightgreen",0.902694777780788,1.67192877491034e-89,-0.405418711986134,5.97977324622090e-11,0.405418711986134,5.97977324622090e-11,FALSE,TRUE
