"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"CEACAM6","black",0.826115392514359,1.81234028809775e-61,0.596970624047328,1.16106439404127e-24,TRUE
"CLDN12","black",0.834016222953196,1.16104937844378e-63,0.488146229469866,7.8026199177612e-16,TRUE
"CLDN4","black",0.8186746542514,1.67806942957309e-59,0.44731256173593,2.93938206439545e-13,TRUE
"CLTB","black",0.805314083580607,3.45846479779556e-56,0.512233191843245,1.59844409113932e-17,TRUE
"CORO2A","black",0.864343277211814,2.68889155882136e-73,0.571830695865053,2.51148429518207e-22,TRUE
"CTSE","black",0.833721561217441,1.40836019131968e-63,0.622071542563489,3.30711268091927e-27,TRUE
"DOCK5","black",0.822094766580322,2.14925099982792e-60,0.546303478239729,3.75756402804313e-20,TRUE
"EGLN3","black",0.821532558719202,3.02212628800848e-60,0.540134741421522,1.18341661765542e-19,TRUE
"EPHA2","black",0.805047583672911,4.00273530865549e-56,0.489923553572439,5.91750384836132e-16,TRUE
"ERN2","black",0.820331640552973,6.23403523449817e-60,0.50474419564413,5.53372994770954e-17,TRUE
"ERO1A","black",0.817958182260513,2.56683299781411e-59,0.514972968321044,1.00706598916738e-17,TRUE
"FAM83B","black",0.848839599165697,4.16935317193962e-68,0.49597106808028,2.28150138148023e-16,TRUE
"FERMT1","black",0.854159170537467,8.07618517238052e-70,0.558897035843484,3.35184698111503e-21,TRUE
"FLNB","black",0.824567032353183,4.7326572477698e-61,0.543677014916699,6.14173745041754e-20,TRUE
"FXYD3","black",0.877854129490447,2.25390971172662e-78,0.557552803663536,4.35961539957949e-21,TRUE
"GALE","black",0.864515521143796,2.33531276847427e-73,0.534942661843747,3.05234650845975e-19,TRUE
"GPRC5A","black",0.811540229621224,1.06515084038467e-57,0.610878145284083,4.81481052601351e-26,TRUE
"ITGA2","black",0.845171389357325,5.79737949905376e-67,0.61539217885225,1.65618623971614e-26,TRUE
"ITGA3","black",0.898550491044503,1.89073883407551e-87,0.603096893811284,2.91267760509788e-25,TRUE
"ITGB4","black",0.888141100195598,1.16297370619842e-82,0.609868834592478,6.09809935300004e-26,TRUE
"ITGB6","black",0.829757365257469,1.82479275570454e-62,0.552475464132579,1.16421838169537e-20,TRUE
"ITPR3","black",0.856486303346782,1.3687806615785e-70,0.585337504015709,1.48101433237116e-23,TRUE
"JPT1","black",0.827137027978124,9.57009247420629e-62,0.540866861918068,1.03404732318908e-19,TRUE
"JUP","black",0.881943731195932,4.97127003681375e-80,0.528457475203916,9.7445824271962e-19,TRUE
"KLF5","black",0.853683538055693,1.15640912300366e-69,0.485114124847147,1.24604208478111e-15,TRUE
"KRT19","black",0.902614164517768,1.83668616747265e-89,0.619391116327332,6.34217883008726e-27,TRUE
"KRT7","black",0.811095891333426,1.37130142239643e-57,0.516188751284966,8.19300957334937e-18,TRUE
"LAMB3","black",0.944161910777099,3.15316813757868e-117,0.668668831006809,1.34726312117087e-32,TRUE
"LAMC2","black",0.877186467304478,4.14683201011488e-78,0.655545498535552,5.54684713839099e-31,TRUE
"LIPH","black",0.850153994123263,1.59602632928752e-68,0.49658433094073,2.06913084344894e-16,TRUE
"LPCAT4","black",0.856256363711575,1.63345150069402e-70,0.553220818068366,1.00894181055315e-20,TRUE
"MALL","black",0.824929475966212,3.78348972708136e-61,0.580925494506859,3.78802896316612e-23,TRUE
"MBOAT2","black",0.830310031861704,1.28188008847779e-62,0.603084057191617,2.9212205530011e-25,TRUE
"MCU","black",0.808376936656763,6.34253222063976e-57,0.487179592093864,9.06293129991301e-16,TRUE
"MET","black",0.823911530962464,7.08521134913025e-61,0.540834482664408,1.04024346018517e-19,TRUE
"MGAT4B","black",0.843287778651571,2.18150032065196e-66,0.501866925776644,8.8456816678801e-17,TRUE
"MICAL2","black",0.81195082038124,8.42875801292395e-58,0.597571759187092,1.01506735963432e-24,TRUE
"MIR492","black",0.850349518037352,1.38249307058216e-68,0.551253630255212,1.47098901058413e-20,TRUE
"MLPH","black",0.859867997113333,9.80723299252057e-72,0.595605807531195,1.5736428679263e-24,TRUE
"MST1R","black",0.923129679921093,3.4190040083667e-101,0.610548033527184,5.20213583641143e-26,TRUE
"MTMR11","black",0.829973489148195,1.58966119743764e-62,0.592126562721373,3.39395193617632e-24,TRUE
