"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"CACNA1A","greenyellow",0.89923560607576,8.77723636144999e-88,-0.140295020231493,0.0294491594298783,FALSE
"CACNA1D","greenyellow",0.693272794131924,7.39987486812575e-36,0.0618025384012992,0.339396300228991,FALSE
"CACNA2D2","greenyellow",0.89658118532716,1.66529950983976e-86,-0.209037108413636,0.00109697962016502,FALSE
"CAMK2B","greenyellow",0.767950468730155,3.84838193779223e-48,-0.183904969841479,0.00417533274923074,FALSE
"CASR","greenyellow",0.709662157836838,3.23030070391895e-38,-0.273119702429879,1.70837966456846e-05,FALSE
"CDH10","greenyellow",0.836371304594809,2.44682492989786e-64,-0.193577757605087,0.002543565199383,FALSE
"CELF3","greenyellow",0.75568314510175,8.02328603013063e-46,-0.219701023050702,0.000592534236690491,FALSE
"CERKL","greenyellow",0.766651881523186,6.87844183790307e-48,-0.172015993674951,0.00743950800184707,FALSE
"CES4A","greenyellow",0.707928317392416,5.84296524584665e-38,-0.11029438583512,0.0875355236852702,FALSE
"CHGA","greenyellow",0.870875152348816,1.11374811558978e-75,-0.250304965336546,8.55519323821776e-05,FALSE
"CHGB","greenyellow",0.780353863798446,1.2311714751689e-50,-0.161034584699418,0.0123044458231826,FALSE
"CNIH2","greenyellow",0.710054764542922,2.8229085704043e-38,-0.219657060870494,0.000594076809699803,FALSE
"CRMP1","greenyellow",0.738810096790539,7.5628851402667e-43,-0.0391857899202152,0.544915343075392,FALSE
"CRYBA2","greenyellow",0.818051256870777,2.42920640115269e-59,-0.237660667488584,0.000196247902664809,FALSE
"CSRNP3","greenyellow",0.687224554579632,5.01948310599754e-35,-0.152838066973039,0.0175815375836866,FALSE
"DACH1","greenyellow",0.740638245354992,3.69519679835703e-43,-0.238574725311615,0.000185086684425603,FALSE
"DDX25","greenyellow",0.702731714885719,3.36432715648717e-37,-0.312772282559874,7.22676084746726e-07,FALSE
"DLK1","greenyellow",0.660694006520168,1.31913024121456e-31,-0.268190258875345,2.45019400674425e-05,FALSE
"DNAJC6","greenyellow",0.745947301649872,4.45932849794412e-44,-0.238934546543464,0.000180857965712831,FALSE
"DPP6","greenyellow",0.900986002770146,1.20469107732444e-88,-0.254171894723516,6.57858591704291e-05,FALSE
"DUSP26","greenyellow",0.754739081990498,1.19433529439772e-45,-0.278716429865525,1.12476149616077e-05,FALSE
"DYNC1I1","greenyellow",0.711476153811966,1.72948740087497e-38,-0.0374514155956769,0.562870878204979,FALSE
"ELAVL4","greenyellow",0.8996252269019,5.65921253288487e-88,-0.271719011503941,1.89407050335452e-05,FALSE
"F10","greenyellow",0.763121468395133,3.27309416730503e-47,-0.302039587635381,1.78315527273988e-06,FALSE
"FAM135B","greenyellow",0.836739181242135,1.91425068998855e-64,-0.269737890562416,2.18956199750543e-05,FALSE
"FFAR1","greenyellow",0.645695906222351,8.01681811052253e-30,-0.244668872709002,0.000124539065334715,FALSE
"FGF14","greenyellow",0.840450462406883,1.55410650774706e-65,-0.29405410356815,3.41229297728762e-06,FALSE
"FMN2","greenyellow",0.909617907724604,3.7844486295593e-93,-0.254791379457086,6.3050107530491e-05,FALSE
"FRRS1L","greenyellow",0.867333543285675,2.26194043185076e-74,-0.268820657378951,2.34067535726028e-05,FALSE
"FSTL5","greenyellow",0.767646292637817,4.41065226269207e-48,-0.219479528244825,0.000600344052166265,FALSE
"FYB2","greenyellow",0.830058017707149,1.50608849155489e-62,-0.34556596745064,3.64308101874777e-08,FALSE
"G6PC2","greenyellow",0.842079402878573,5.05800102983521e-66,-0.311636594560956,7.96501588724942e-07,FALSE
"GABRG2","greenyellow",0.824431480671035,5.14522602428653e-61,-0.183268408425361,0.00431025720248715,FALSE
"GAD2","greenyellow",0.945957053059201,7.07849025400082e-119,-0.273373473175961,1.67663766320779e-05,FALSE
"GC","greenyellow",0.680360002540693,4.16930990151003e-34,-0.229100459008736,0.000335897395046537,FALSE
"GCG","greenyellow",0.595518532510781,1.60446007008052e-24,-0.0985442609850168,0.127114464652664,FALSE
"GJD2","greenyellow",0.754284197459579,1.44575650364877e-45,-0.231058274797382,0.000297562913443093,FALSE
"GLRA1","greenyellow",0.78727545726155,4.22812581893672e-52,-0.31347073754508,6.8057602982767e-07,FALSE
"GNAO1","greenyellow",0.758630424087794,2.29013963457028e-46,-0.109996892777245,0.08839846408045,FALSE
"GNG4","greenyellow",0.673189547818274,3.58105148796984e-33,-0.157306941091987,0.0145011687942572,FALSE
"GPM6A","greenyellow",0.722961868209308,2.95093189434855e-40,-0.231675345624066,0.000286351242648802,FALSE
"GPR119","greenyellow",0.896216304987501,2.48008015457436e-86,-0.16004308662107,0.0128581059368147,FALSE
"GRIA2","greenyellow",0.860966757662905,4.10314634879184e-72,-0.267359354867285,2.6019599248528e-05,FALSE
"GRIA3","greenyellow",0.884033334052378,6.70216959217145e-81,-0.241785304735931,0.000150408559592501,FALSE
"HEPACAM2","greenyellow",0.857084053187794,8.63234514983224e-71,-0.190319229816544,0.00301359238397409,FALSE
