"Gene","Module","MM","MM_pval","GS_Tumor","GS_pval","SignificantModule"
"PTF1A","green",0.849226629115066,3.14547250178655e-68,-0.427545275238652,3.95500950359459e-12,TRUE
"PXMP2","green",0.861159775500687,3.51806392736855e-72,-0.404321624489206,6.80691831907967e-11,TRUE
"RAB26","green",0.842167219816366,4.75927169187883e-66,-0.441684053880353,6.2686166463205e-13,TRUE
"RAB3D","green",0.947490098798241,2.49243606477694e-120,-0.34650101816009,3.32823407092676e-08,TRUE
"RBPJL","green",0.935430236458705,6.44794294405023e-110,-0.423664462384355,6.46109458548425e-12,TRUE
"RNF186","green",0.830964608360935,8.42330904369593e-63,-0.2873570104615,5.79392701624586e-06,TRUE
"RNF212","green",0.817835845495234,2.75952572452217e-59,-0.414980079645704,1.89472267058198e-11,TRUE
"RORC","green",0.849569952548561,2.44813601547709e-68,-0.338521505648987,7.13017537588018e-08,TRUE
"RPH3AL","green",0.935280122344073,8.43295027291111e-110,-0.404493011554388,6.67074303270717e-11,TRUE
"SARDH","green",0.886749588474908,4.67311865975098e-82,-0.450337169247979,1.94531547966614e-13,TRUE
"SDK1","green",0.858936040596513,2.04178306831324e-71,-0.463053014235283,3.27843476956181e-14,TRUE
"SEC23A","green",-0.803033783220381,1.19906087556272e-55,0.462974551081504,3.31541095042521e-14,TRUE
"SEC61B","green",0.849620647613668,2.35906388592597e-68,-0.288192615334887,5.42754312130626e-06,TRUE
"SEMA3A","green",-0.822826154848903,1.37700124169256e-60,0.357723251155968,1.09892449850619e-08,TRUE
"SERP1","green",0.84897556546405,3.77671200557915e-68,-0.242285600373713,0.000145586874165477,TRUE
"SKAP2","green",-0.896230381140343,2.44233259598924e-86,0.440167843251392,7.66910379658742e-13,TRUE
"SLC16A1","green",-0.820126946512493,7.04909615333759e-60,0.430397440107153,2.74628405293569e-12,TRUE
"SLC25A45","green",0.805535562397519,3.06237183064982e-56,-0.341341012952529,5.46063533922619e-08,TRUE
"SLC2A11","green",0.847705910038377,9.47520457297347e-68,-0.371891985722339,2.54751934059923e-09,TRUE
"SLC38A3","green",0.898719727341774,1.56505148950353e-87,-0.38259933852095,8.0460088730232e-10,TRUE
"SLC39A14","green",0.868984871028872,5.61690055716566e-75,-0.246392348782422,0.000111132724073481,TRUE
"SLC39A5","green",0.933500902187682,1.93438278600846e-108,-0.418261037890466,1.2664689701777e-11,TRUE
"SLC41A1","green",0.907917367397951,3.16200998099811e-92,-0.423257956114577,6.79949785188548e-12,TRUE
"SLC43A1","green",0.924680318268984,3.29159543825637e-102,-0.463851307360936,2.92441742658927e-14,TRUE
"SMPDL3B","green",0.856086927451289,1.86033958471396e-70,-0.250494856017876,8.44635021394261e-05,TRUE
"SOCS7","green",0.819087079981538,1.31275716543774e-59,-0.360205833710219,8.54975953002532e-09,TRUE
"SPAG4","green",0.822792829727269,1.40528253122842e-60,-0.295637260753051,3.0049417953452e-06,TRUE
"SPSB4","green",0.830638674564413,1.0384495909272e-62,-0.358225589225845,1.04468357186955e-08,TRUE
"SPX","green",0.874231056528482,5.90871984408292e-77,-0.441819932615909,6.15605404740217e-13,TRUE
"SSR4","green",0.883659418154457,9.61976270187104e-81,-0.42193696196959,8.02266878259086e-12,TRUE
"STOX2","green",0.832297005475755,3.56325671558368e-63,-0.443621112426305,4.83790763489215e-13,TRUE
"SYPL2","green",0.821530065682722,3.02668934608188e-60,-0.446650288484278,3.21567798677833e-13,TRUE
"TMEM125","green",0.901111438330387,1.04340154949626e-88,-0.270108540774356,2.13115549121039e-05,TRUE
"TMEM51-AS1","green",0.84809675850571,7.14503921082084e-68,-0.298707970928563,2.34319442448384e-06,TRUE
"TMEM52","green",0.892097797836181,2.01044851840888e-84,-0.291441088495903,4.20196744701797e-06,TRUE
"TMEM72","green",0.80879675131382,5.01489278193094e-57,-0.393559853419418,2.36654012900006e-10,TRUE
"TPRN","green",0.920141288400104,2.71604561259893e-99,-0.354969595797495,1.44809119333055e-08,TRUE
"TPST2","green",0.926923869386776,1.01727847489507e-103,-0.405143964644207,6.17724497072463e-11,TRUE
"TRANK1","green",-0.826554179848834,1.37833019662372e-61,0.332858776274412,1.20872462794444e-07,TRUE
"TRIM50","green",0.806504174478901,1.79568488501473e-56,-0.399531157589974,1.19191137801877e-10,TRUE
"TRIM73","green",0.851544641523019,5.72060267595702e-69,-0.332901844836685,1.20393013882315e-07,TRUE
"TTYH1","green",0.890562694635435,9.88672013597325e-84,-0.363854660068719,5.88879424089921e-09,TRUE
"UMOD","green",0.826167220139115,1.75474814924115e-61,-0.341487543297172,5.38505986918175e-08,TRUE
"VIPR2","green",0.835467649722727,4.46011703169603e-64,-0.496688758973686,2.0349507844718e-16,TRUE
"VPS51","green",0.88479754598114,3.18972965896996e-81,-0.394147430805966,2.21343400731929e-10,TRUE
"WNK2","green",0.915039933508478,3.25029178276306e-96,-0.411770294849176,2.79817461328656e-11,TRUE
"XBP1","green",0.804171840647934,6.4602218642242e-56,-0.397131823805838,1.57270086732261e-10,TRUE
"ZBTB22","green",0.887949913536967,1.40940105893167e-82,-0.364001090648672,5.80076928643522e-09,TRUE
"ZNF503","green",0.845167817506154,5.81206340357382e-67,-0.327492995760429,1.97384949481652e-07,TRUE
"ABCA5","yellow",0.855816276515514,2.28913141701549e-70,-0.434694298338257,1.575034752512e-12,TRUE
"ACADL","yellow",0.925890753422537,5.11282684213081e-103,-0.51210478504353,1.6332653088824e-17,TRUE
"ACAT1","yellow",0.81578029311197,9.23717172547283e-59,-0.484633503446304,1.34144385203271e-15,TRUE
"ACSM3","yellow",0.834668473083974,7.56184948440627e-64,-0.312797691340857,7.21101782607403e-07,TRUE
"AGBL3","yellow",0.807724719358416,9.12495645228419e-57,-0.530576534706046,6.68691632492084e-19,TRUE
"AKAP7","yellow",0.817466585956238,3.43225655167145e-59,-0.447426371688678,2.89429400707458e-13,TRUE
"ALB","yellow",0.913922493838629,1.4464334618682e-95,-0.49253137887771,3.93232893413143e-16,TRUE
"ALDH1L2","yellow",0.812539780536713,6.01896020791494e-58,-0.389783063201723,3.62629098058649e-10,TRUE
"ALG14","yellow",0.800194325147382,5.51297605175806e-55,-0.402408292649075,8.52292613765564e-11,TRUE
"ALG2","yellow",0.814918077012415,1.52643768912218e-58,-0.401948608092914,8.99402582264203e-11,TRUE
"AMBP","yellow",0.813123112547013,4.30691919123887e-58,-0.346849203814095,3.21783374220887e-08,TRUE
"AMY2A","yellow",0.866561104855872,4.31208714041692e-74,-0.409096016962583,3.85998667253941e-11,TRUE
"ANKEF1","yellow",0.884740515501309,3.37207191014351e-81,-0.39255751263689,2.65175579858868e-10,TRUE
"ANKRD62","yellow",0.868102531820833,1.18514141526618e-74,-0.450343532915914,1.94361840516411e-13,TRUE
"ANKRD62P1-PARP4P3","yellow",0.896512403319675,1.79534628489683e-86,-0.472465918277324,8.35988721973021e-15,TRUE
"ANO5","yellow",0.870791473669533,1.19709443905557e-75,-0.46038801437366,4.79080194989557e-14,TRUE
"AOX1","yellow",0.801726245474905,2.42813075713705e-55,-0.56955526333143,3.99493370190728e-22,TRUE
"APPL1","yellow",0.855875506081487,2.18762857525023e-70,-0.474410261805858,6.27086776520569e-15,TRUE
"ARSL","yellow",0.840137958361386,1.92477162373715e-65,-0.335594436009514,9.37912771207397e-08,TRUE
"ATG2B","yellow",0.852661234389799,2.49083380377721e-69,-0.471282023101247,9.95056454262826e-15,TRUE
"AZGP1","yellow",0.827861725714988,6.06861021679131e-62,-0.351003891883238,2.14471430073231e-08,TRUE
"B3GALNT2","yellow",0.851935936682157,4.27797870501718e-69,-0.36578347354201,4.82620448418024e-09,TRUE
"BSPRY","yellow",0.821345257746175,3.38463687803319e-60,-0.298322151250182,2.41796445822245e-06,TRUE
"C5","yellow",0.919211064339287,1.02390402755522e-98,-0.539626584430497,1.29934824329268e-19,TRUE
"CEL","yellow",0.81413344019445,2.40548543332638e-58,-0.364045984758423,5.77403744100123e-09,TRUE
"CELA2A","yellow",0.816310418434432,6.77405000639191e-59,-0.376376363923477,1.58014549468596e-09,TRUE
"CELA2B","yellow",0.832605868879706,2.91584829479929e-63,-0.383992242334674,6.90434305180892e-10,TRUE
"CELA3B","yellow",0.811115962715242,1.35576027946649e-57,-0.360837560448396,8.01797162103033e-09,TRUE
"CFAP91","yellow",0.900455930428051,2.20674273544565e-88,-0.411954462020927,2.73657791903219e-11,TRUE
"CHRM3","yellow",0.881100634635415,1.10391559871041e-79,-0.416162782363192,1.63945189148817e-11,TRUE
"CLPS","yellow",0.818040983422589,2.44403152415261e-59,-0.377595077232585,1.38604832436384e-09,TRUE
"CMTM8","yellow",0.835441886653744,4.53687483767728e-64,-0.433716824462788,1.78861671752176e-12,TRUE
"CNKSR3","yellow",0.818511717867485,1.84867063384572e-59,-0.458672113701121,6.1055448128604e-14,TRUE
"COA3","yellow",0.874090296506135,6.69447409744517e-77,-0.382042779832656,8.55160699088015e-10,TRUE
"CPA2","yellow",0.808844069671332,4.8837005243149e-57,-0.345652004949919,3.61295206900305e-08,TRUE
"CPEB3","yellow",0.818387248754966,1.99045932443161e-59,-0.453864932207235,1.19578437924515e-13,TRUE
"CTNND2","yellow",0.856125655995073,1.80587400004891e-70,-0.467372828329743,1.76023297361261e-14,TRUE
"CTRC","yellow",0.848353554483463,5.93302433010571e-68,-0.404412784132315,6.73415473714278e-11,TRUE
"CTRL","yellow",0.874979424492163,3.03465941849906e-77,-0.430598231516122,2.67631964171476e-12,TRUE
"CTTNBP2","yellow",0.859854090579745,9.91551886821755e-72,-0.501227225858442,9.81211365108062e-17,TRUE
"CUZD1","yellow",0.853988092873563,9.19066071795456e-70,-0.387182376350588,4.84991009633807e-10,TRUE
"CYP39A1","yellow",0.837135910894826,1.46803376810423e-64,-0.455953980530333,8.94030713029198e-14,TRUE
"DCDC2","yellow",0.866647178282707,4.01375446011732e-74,-0.367924311560927,3.86379333641012e-09,TRUE
"DPP10","yellow",0.892079607572529,2.0490430897713e-84,-0.473142689354802,7.56528846781502e-15,TRUE
"ECI2","yellow",0.856147980424335,1.77519873050481e-70,-0.496878655717681,1.97420779487553e-16,TRUE
"EFCAB6","yellow",0.805084039456798,3.92355573139231e-56,-0.390818061270435,3.22777098246526e-10,TRUE
"EGF","yellow",0.938724538749515,1.50809351351954e-112,-0.459440539298453,5.47814994228237e-14,TRUE
"ELF4","yellow",-0.858532297132123,2.8006943269575e-71,0.465286979143402,2.37937463946926e-14,TRUE
"EPB41L4B","yellow",0.864824838141408,1.8120873569666e-73,-0.448256410312757,2.58526426470379e-13,TRUE
"EPB41L5","yellow",0.882727144879402,2.35583409731046e-80,-0.337260091345656,8.02714444523026e-08,TRUE
"EPHX2","yellow",0.83393299464824,1.2261816173797e-63,-0.559331412460419,3.07809812345664e-21,TRUE
"ERO1B","yellow",0.808046078853552,7.62908908177747e-57,-0.512613532507009,1.4995194447581e-17,TRUE
"ERP27","yellow",0.82460692398636,4.61760218948943e-61,-0.425901799719143,4.87247773757900e-12,TRUE
"ESRRG","yellow",0.900240870866069,2.81827538004463e-88,-0.4975507774672,1.773147598986e-16,TRUE
"F11","yellow",0.921664165158796,2.98629360887685e-100,-0.441062955479041,6.80922229446256e-13,TRUE
"FAIM","yellow",0.818759744464438,1.59526764755532e-59,-0.354862885765966,1.4635802787899e-08,TRUE
"FAM149A","yellow",0.814022635336201,2.56460905542012e-58,-0.396489663725459,1.69319643756924e-10,TRUE
"FAM3B","yellow",0.811592103228171,1.03414831949231e-57,-0.295227755282509,3.10562160357073e-06,TRUE
"FAM47E","yellow",0.84957502375429,2.43907798611473e-68,-0.397173528285392,1.56517016414422e-10,TRUE
"FBXO25","yellow",0.843859129224629,1.46214125616429e-66,-0.466470283619886,2.00593347729925e-14,TRUE
"FBXW12","yellow",0.840487253207452,1.51541212282653e-65,-0.438975155012913,8.98104332716158e-13,TRUE
"FGL1","yellow",0.87299555137583,1.758805408882e-76,-0.448222903305749,2.59709044705051e-13,TRUE
"FXYD5","yellow",-0.808448927771784,6.09241034390876e-57,0.480928358902978,2.35988468534765e-15,TRUE
"GAS2","yellow",0.93127603449025,8.62510266841004e-107,-0.483292874636755,1.64694158531809e-15,TRUE
"GATM","yellow",0.85428370919664,7.35009182925271e-70,-0.349517690053105,2.4813647839511e-08,TRUE
"GIPC2","yellow",0.871526484535115,6.33990990273393e-76,-0.365894667514031,4.77096479381732e-09,TRUE
"GLS2","yellow",0.865809874325184,8.04496398534541e-74,-0.460286810923198,4.85999826563909e-14,TRUE
"GMNN","yellow",0.911383934213679,3.99058096622838e-94,-0.388434097516723,4.21790427105717e-10,TRUE
"GNMT","yellow",0.87496877455874,3.06366436032747e-77,-0.439607081841937,8.26081662586271e-13,TRUE
"GOLGA8B","yellow",0.81859143552879,1.76316022980245e-59,-0.414390186664461,2.03610380733964e-11,TRUE
"GOLGA8DP","yellow",0.81774418194603,2.91322284010995e-59,-0.445262675821152,3.87924875719439e-13,TRUE
"GP2","yellow",0.857629319484556,5.65856061807609e-71,-0.373957613895754,2.04628866972376e-09,TRUE
"GPT2","yellow",0.839541852047547,2.89088686214844e-65,-0.424714307403318,5.66122429701444e-12,TRUE
"GRAMD1C","yellow",0.840152421537487,1.90582990561894e-65,-0.289475769933969,4.90752443451366e-06,TRUE
"GRB14","yellow",0.937158449831664,2.79873998571481e-111,-0.465187959945866,2.41353971393437e-14,TRUE
"GRPR","yellow",0.871632335253897,5.78347696462712e-76,-0.438530147818414,9.52460858628838e-13,TRUE
"GSTA2","yellow",0.856420944133835,1.43936071753015e-70,-0.454024797677198,1.16954805142137e-13,TRUE
"GVQW3","yellow",0.819193061574206,1.23236900874205e-59,-0.379701011383023,1.1037404146109e-09,TRUE
"HOMER2","yellow",0.868547932832476,8.13527017687258e-75,-0.391031736264648,3.15095890563251e-10,TRUE
"HOOK1","yellow",0.853120478975691,1.76587935928823e-69,-0.312464224605001,7.42026740216037e-07,TRUE
"HSD17B8","yellow",0.808746917815506,5.15682916471449e-57,-0.385757458078618,5.68133844817637e-10,TRUE
"HUNK","yellow",0.890992692578131,6.34349838073917e-84,-0.465998018015861,2.14754942342294e-14,TRUE
"IFT20","yellow",0.882563375893366,2.75507867475424e-80,-0.411382740008789,2.93223274933843e-11,TRUE
"IMPA2","yellow",0.90393129710287,3.91395945509718e-90,-0.39522258395924,1.95779623743673e-10,TRUE
"KCNJ16","yellow",0.870748347087157,1.24243225700839e-75,-0.386949222231575,4.97737268705042e-10,TRUE
"KLK1","yellow",0.882676163672515,2.47354956365268e-80,-0.422618587205574,7.36695205104437e-12,TRUE
"LARP1B","yellow",0.914285516773558,8.92549831202935e-96,-0.404511313306138,6.65635883372826e-11,TRUE
"LGALS2","yellow",0.856876298714488,1.01348047671091e-70,-0.475720800968805,5.16074599814473e-15,TRUE
"LINC00339","yellow",0.904387338808806,2.27971069414975e-90,-0.459157358132134,5.70166245904947e-14,TRUE
"LINC02905","yellow",0.822047817525923,2.21140593631214e-60,-0.437765722175249,1.05341332077636e-12,TRUE
"LNX1","yellow",0.840200465436534,1.8442239851791e-65,-0.323401952962211,2.85084746003496e-07,TRUE
"LPAR3","yellow",0.867774651366755,1.56197824562561e-74,-0.444918263623177,4.06361868519549e-13,TRUE
"MAN1A2","yellow",0.851723356086464,5.01010324487269e-69,-0.436577672598473,1.23134385783632e-12,TRUE
"MAP3K21","yellow",0.817532473716899,3.30133717343783e-59,-0.307751644892873,1.10755753822213e-06,TRUE
"MAPK9","yellow",0.810489140448867,1.93415574914318e-57,-0.326704909068824,2.11959636786451e-07,TRUE
"MCCC1","yellow",0.869388550465929,3.98429617959981e-75,-0.389977668255808,3.54788510212542e-10,TRUE
"MCOLN3","yellow",0.816016464824105,8.04614543033762e-59,-0.464854831446445,2.53203754430449e-14,TRUE
