"Gene","Module"
"C2CD4A","blue"
"C2CD4C","blue"
"C2CD5","blue"
"C2orf81","blue"
"C3orf18","blue"
"C3orf38","blue"
"C4orf46","blue"
"C8G","blue"
"C8orf74","blue"
"C8orf82","blue"
"C9orf163","blue"
"C9orf40","blue"
"C9orf50","blue"
"C9orf78","blue"
"CA11","blue"
"CABP1","blue"
"CABP2","blue"
"CABP4","blue"
"CACNG5","blue"
"CACNG7","blue"
"CACNG8","blue"
"CACTIN-AS1","blue"
"CALCB","blue"
"CALHM3","blue"
"CALM1","blue"
"CAMK2N2","blue"
"CAPN15","blue"
"CARD14","blue"
"CARNS1","blue"
"CASKIN1","blue"
"CASP4","blue"
"CATIP","blue"
"CAV3","blue"
"CBARP","blue"
"CBX2","blue"
"CBX8","blue"
"CCAR1","blue"
"CCDC106","blue"
"CCDC116","blue"
"CCDC140","blue"
"CCDC146","blue"
"CCDC154","blue"
"CCDC166","blue"
"CCDC177","blue"
"CCDC182","blue"
"CCDC61","blue"
"CCDC71L","blue"
"CCDC78","blue"
"CCDC85B","blue"
"CCDC85C","blue"
"CCDC9","blue"
"CCDC93","blue"
"CCL27","blue"
"CCM2L","blue"
"CCNJL","blue"
"CCNO","blue"
"CCNP","blue"
"CD164","blue"
"CD164L2","blue"
"CD7","blue"
"CDC14C","blue"
"CDC42EP5","blue"
"CDH4","blue"
"CDHR4","blue"
"CDK5R1","blue"
"CDK5R2","blue"
"CDKN1C","blue"
"CDKN2D","blue"
"CDRT15P3","blue"
"CDSN","blue"
"CDT1","blue"
"CDX1","blue"
"CEACAM16","blue"
"CEBPE","blue"
"CELF1","blue"
"CELF4","blue"
"CELF5","blue"
"CEND1","blue"
"CEP72-DT","blue"
"CERS1","blue"
"CES5A","blue"
"CFAP144P1","blue"
"CFAP20","blue"
"CFAP410","blue"
"CFAP73","blue"
"CFAP77","blue"
"CFLAR","blue"
"CGB2","blue"
"CHADL","blue"
"CHD5","blue"
"CHRNA10","blue"
"CHRNB4","blue"
"CHST13","blue"
"CHST14","blue"
"CHST2","blue"
"CHST7","blue"
"CHST8","blue"
"CHTF18","blue"
"CILP2","blue"
"CIMAP1A","blue"
"CIMAP1B","blue"
"CIMAP1D","blue"
"CIMIP2A","blue"
"CIROZ","blue"
"CISD1","blue"
"CITED1","blue"
"CITED4","blue"
"CLASP1","blue"
"CLCNKA","blue"
"CLDN14","blue"
"CLDN19","blue"
"CLDN23","blue"
"CLDN9","blue"
"CLDND2","blue"
"CLEC11A","blue"
"CLEC18A","blue"
"CLEC4GP1","blue"
"CLPSL2","blue"
"CNTN2","blue"
"COG4","blue"
"COL18A1","blue"
"COL20A1","blue"
"COL23A1","blue"
"COL26A1","blue"
"COL2A1","blue"
"COL5A3","blue"
"COL9A2","blue"
"COL9A3","blue"
"COPS4","blue"
"CORO7-PAM16","blue"
"COX4I2","blue"
"COX6A2","blue"
"CPAMD8","blue"
"CPLANE2","blue"
"CPLX1","blue"
"CPN2","blue"
"CRABP1","blue"
"CRACDL","blue"
"CRB3","blue"
"CREB1","blue"
"CRIP3","blue"
"CRLF1","blue"
"CRMA","blue"
"CROCC","blue"
"CRTAC1","blue"
"CRYAA","blue"
"CRYBB1","blue"
"CRYBB2","blue"
"CRYBB3","blue"
"CSDC2","blue"
"CSF3","blue"
"CSH2","blue"
"CSNK1A1L","blue"
"CSNK2A3","blue"
"CSNK2B","blue"
"CSTF2T","blue"
"CT47A10","blue"
"CT47B1","blue"
"CT75","blue"
"CTAG1B","blue"
"CTAG2","blue"
"CTDP1-DT","blue"
"CTU1","blue"
"CTU2","blue"
"CTXN1","blue"
"CUL1","blue"
"CYP21A2","blue"
"CYP26C1","blue"
"CYP2A13","blue"
"CYP2A7","blue"
"CYP2W1","blue"
"CYS1","blue"
"CYSRT1","blue"
"CYTL1","blue"
"DACT3","blue"
"DAND5","blue"
"DANT2","blue"
"DBH","blue"
"DBNDD1","blue"
"DBX1","blue"
"DCAF1","blue"
"DCAF12","blue"
"DCAF12L1","blue"
"DCAF17","blue"
"DCST2","blue"
"DCTN2","blue"
"DDC-AS1","blue"
"DDN","blue"
"DDX23","blue"
"DDX51","blue"
"DDX53","blue"
"DEFB132","blue"
"DEGS2","blue"
"DGCR6","blue"
"DHH","blue"
"DHRS1","blue"
"DHRS13","blue"
"DHRS4","blue"
"DHX8","blue"
"DICER1","blue"
"DIPK1B","blue"
"DLEU7","blue"
"DLGAP2","blue"
"DLGAP3","blue"
"DLL3","blue"
"DLST","blue"
"DLX2","blue"
"DLX3","blue"
"DLX4","blue"
"DMRTA1","blue"
"DMRTA2","blue"
"DMRTB1","blue"
"DMRTC2","blue"
"DMTF1","blue"
"DMXL2","blue"
"DNAAF3","blue"
"DNAJC14","blue"
"DNAJC30","blue"
"DNASE1L2","blue"
"DNLZ","blue"
"DNMT3L","blue"
"DOC2A","blue"
"DOCK7","blue"
"DOHH","blue"
"DOK7","blue"
"DONSON","blue"
"DPEP3","blue"
"DPP8","blue"
"DPPA5","blue"
"DRAXIN","blue"
"DRD2","blue"
"DRD4","blue"
"DRD5P2","blue"
"DRGX","blue"
"DUSP15","blue"
"DUSP29","blue"
"DUSP9","blue"
"DUX4","blue"
"DYNC1LI1","blue"
"DYNLT4","blue"
"EBF4","blue"
"ECEL1","blue"
"ECEL1P2","blue"
"EEF2KMT","blue"
"EFCAB12","blue"
"EFCAB2-AS1","blue"
"EFCC1","blue"
"EFNA2","blue"
"EGFL7","blue"
"EGR4","blue"
"EID2","blue"
"EIF2AK4","blue"
"EIF4E2","blue"
"EIF5A","blue"
"ELANE","blue"
"ELFN2","blue"
"ELOA3DP","blue"
"EME2","blue"
"EML4","blue"
"EMX1","blue"
"EN1","blue"
"EN2","blue"
"ENHO","blue"
